timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-06-29 07:58:23,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,276.00,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0
2022-06-29 07:59:18,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,312.00,07-07-2022 13:11:00,79,0,07-11-2022 14:00:00,79,0
2022-06-29 08:00:11,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,250.00,07-14-2022 13:11:00,79,0,07-18-2022 17:42:00,78,0
2022-06-29 08:01:06,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,250.00,07-21-2022 16:44:00,84,0,07-25-2022 14:00:00,79,0
2022-06-29 08:01:58,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,274.00,07-28-2022 16:44:00,84,0,08-01-2022 10:18:00,88,0
2022-06-29 08:02:54,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,274.00,08-04-2022 13:06:00,79,0,08-08-2022 10:18:00,88,0
2022-06-29 08:03:47,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,274.00,08-11-2022 13:06:00,79,0,08-15-2022 14:00:00,79,0
2022-06-29 08:04:41,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,258.00,08-18-2022 12:42:00,76,0,08-22-2022 14:02:00,78,0
2022-06-29 08:05:36,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,08/25/2022,08/29/2022,238.00,08-25-2022 12:42:00,76,0,08-29-2022 14:02:00,78,0
2022-06-29 08:06:29,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,09/01/2022,09/05/2022,338.00,09-01-2022 12:42:00,76,0,09-05-2022 10:25:00,87,0
2022-06-29 08:07:23,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,09/08/2022,09/12/2022,260.00,09-08-2022 12:19:00,87,0,09-12-2022 14:02:00,78,0
2022-06-29 08:08:16,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,09/15/2022,09/19/2022,218.00,09-15-2022 12:19:00,87,0,09-19-2022 20:15:00,77,0
2022-06-29 08:09:10,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,239.00,09-22-2022 16:44:00,78,0,09-26-2022 14:02:00,78,0
2022-06-29 08:10:04,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,248.00,09-29-2022 12:19:00,87,0,10-03-2022 16:45:00,78,0
2022-06-29 08:10:59,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318.00,10-06-2022 12:29:00,82,0,10-10-2022 10:16:00,83,0
2022-06-29 08:11:54,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,340.00,10-13-2022 12:29:00,82,0,10-17-2022 10:16:00,83,0
2022-06-29 08:12:49,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278.00,10-20-2022 12:29:00,82,0,10-24-2022 16:45:00,81,0
2022-06-29 08:13:45,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,248.00,10-27-2022 12:29:00,82,0,10-31-2022 20:05:00,82,0
2022-06-29 08:14:40,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/03/2022,11/07/2022,278.00,11-03-2022 12:54:00,81,0,11-07-2022 08:20:00,83,0
2022-06-29 08:15:34,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278.00,11-10-2022 12:54:00,81,0,11-14-2022 10:50:00,79,0
2022-06-29 08:16:29,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,448.00,11-17-2022 16:42:00,79,0,11-21-2022 10:50:00,79,0
2022-06-29 08:17:22,SNA-PHX-11/24/2022-11/28/2022,SNA,PHX,11/24/2022,11/28/2022,390.00,11-24-2022 12:54:00,81,0,11-28-2022 10:50:00,79,0
2022-06-29 08:18:15,SNA-PHX-12/01/2022-12/05/2022,SNA,PHX,12/01/2022,12/05/2022,248.00,12-01-2022 12:54:00,81,0,12-05-2022 17:40:00,80,0
2022-06-29 08:19:10,SNA-PHX-12/08/2022-12/12/2022,SNA,PHX,12/08/2022,12/12/2022,248.00,12-08-2022 12:54:00,81,0,12-12-2022 14:30:00,79,0
2022-06-29 08:20:06,SNA-PHX-12/15/2022-12/19/2022,SNA,PHX,12/15/2022,12/19/2022,418.00,12-15-2022 12:54:00,81,0,12-19-2022 10:50:00,79,0
2022-06-29 08:20:59,SNA-PHX-12/22/2022-12/26/2022,SNA,PHX,12/22/2022,12/26/2022,480.00,12-22-2022 12:54:00,81,0,12-26-2022 10:50:00,79,0
2022-06-29 08:21:53,SNA-PHX-12/29/2022-01/02/2023,SNA,PHX,12/29/2022,01/02/2023,450.00,12-29-2022 12:54:00,81,0,01-02-2023 10:50:00,79,0
2022-06-29 08:22:56,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,06/30/2022,07/04/2022,684.00,06-30-2022 10:55:00,404,1,07-04-2022 13:19:00,253,0
2022-06-29 08:23:56,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,07/07/2022,07/11/2022,605.00,07-07-2022 13:20:00,256,0,07-11-2022 07:19:00,262,0
